id,nb_blocks,nb_instructions,reuse,distance
611,2,22,143,4643189
612,2,20,1,0
613,1,17,1,0
614,4,24,1,0
615,7,30,2,24862
616,5,22,2,24862
617,2,18,1,0
618,2,18,2,24909
619,2,17,2,24909
620,6,35,2,24909
621,2,25,2,24909
622,2,18,2,24909
623,5,34,2,24909
624,2,20,1,0
625,4,38,2,32364
626,2,17,2,32364
627,2,19,2,32364
628,21,155,1,0
629,13,113,2,6283
630,9,58,2,6283
631,1,14,2,6283
632,5,36,2,6283
633,5,67,2,6283
634,7,23,2,6283
635,7,23,2,6283
636,2,15,2,6283
637,6,37,2,6283
638,14,55,2,6283
639,14,63,2,6283
640,1,22,3,25514
641,12,89,2,6283
642,9,42,3,25514
643,25,102,3,25514
644,4,24,3,25514
645,7,93,3,25514
646,1,14,3,25514
647,1,14,3,25514
648,14,46,3,25514
649,1,20,3,25514
650,4,23,3,25514
651,5,57,3,25514
652,27,100,4,31233
653,2,23,3,25514
654,4,40,3,25514
655,11,68,3,25514
656,6,52,2,6283
657,1,12,3,25605
658,15,92,3,25605
659,1,13,3,25605
660,1,14,3,25605
661,10,111,2,6283
662,1,11,4,44726
663,2,50,2,6283
664,5,49,2,6283
665,3,80,2,6283
666,11,72,3,25341
667,4,25,3,25341
668,15,94,3,25341
669,37,230,2,6283
670,1,7,5,2967039
671,2,6,3,25733
672,7,45,3,25733
673,2,33,3,25733
674,3,9,3,25733
675,4,10,3,25733
676,4,22,3,25733
677,2,19,3,25733
678,1,10,3,25733
679,5,42,3,25733
680,5,46,3,25733
681,15,117,3,25733
682,3,27,4,37895
683,2,17,6,38598
684,17,76,1,0
685,1,8,3,25793
686,1,12,3,25793
687,7,44,4,37838
688,4,27,4,37838
689,9,53,3,25793
690,6,25,3,25793
691,1,17,4,28782
692,7,68,3,28752
693,2,12,4,28748
694,7,54,2,6343
695,9,58,3,25793
696,5,44,2,6343
697,2,27,3,25884
698,2,18,3,25884
699,2,20,3,25884
700,2,18,2,6343
701,5,52,2,6343
702,2,23,2,6343
703,12,100,1,0
704,15,62,2,19450
705,11,58,3,31590
706,3,16,3,31590
707,18,107,1,0
708,3,25,1,0
709,1,12,1,0
710,2,25,2,19530
711,3,14,2,19530
712,1,11,2,19530
713,4,34,1,0
714,9,31,1,0
715,5,35,1,0
716,5,24,1,0
717,4,33,1,0
718,4,27,1,0
719,6,29,1,0
720,30,254,1,0
721,3,25,1,0
722,9,46,1,0
723,3,24,1,0
724,26,167,1,0
725,1,12,1,0
726,4,42,1,0
727,5,58,1,0
728,4,41,1,0
729,2,27,1,0
730,5,36,1,0
731,1,29,1,0
732,6,36,1,0
733,11,50,1,0
734,13,52,1,0
735,9,146,1,0
736,2,50,1,0
737,14,68,1,0
738,12,89,1,0
739,18,106,1,0
740,3,37,1,0
741,5,28,1,0
742,13,43,1,0
743,8,69,1,0
744,7,21,1,0
745,10,46,1,0
746,1,9,1,0
747,5,15,1,0
748,8,42,1,0
749,5,23,1,0
750,3,20,1,0
751,3,24,1,0
752,12,54,1,0
753,37,228,1,0
754,9,74,1,0
755,2,39,1,0
756,17,98,1,0
757,2,18,1,0
758,6,50,1,0
759,1,12,1,0
760,4,27,1,0
761,1,10,1,0
762,5,28,1,0
763,2,17,1,0
764,7,69,1,0
765,2,10,3,92818
766,5,34,3,92818
767,1,5,3,92818
768,1,7,1,0
769,4,30,1,0
770,4,32,1,0
771,31,114,1,0
772,3,43,1,0
773,3,37,1,0
774,6,50,1,0
775,6,24,1,0
776,19,101,1,0
777,4,34,1,0
778,1,18,1,0
779,10,68,1,0
780,5,32,1,0
781,7,62,1,0
782,6,33,1,0
783,7,49,1,0
784,6,79,1,0
785,1,16,1,0
786,7,45,1,0
787,3,7,1,0
788,4,34,1,0
789,11,64,1,0
790,5,34,1,0
791,3,34,1,0
792,15,96,1,0
793,23,146,1,0
794,1,16,1,0
795,3,27,1,0
796,8,71,1,0
797,4,23,1,0
798,6,30,3,90145
799,1,7,92,4535695
800,10,65,3,90145
801,1,14,3,90145
802,16,84,2,90145
803,5,27,3,90145
804,8,43,3,90145
805,2,15,3,90145
806,7,37,3,90145
807,6,52,93,4617033
808,3,37,98,4617033
809,9,45,3,90145
810,6,68,92,4617038
811,11,67,6,3839000
812,4,20,95,4617035
813,4,37,5,90145
814,3,20,5,90145
815,17,104,87,4617110
816,14,77,260,4618166
817,6,31,92,4617110
818,5,32,92,4617110
819,8,53,92,4617110
820,6,32,92,4617110
821,5,26,92,4617110
822,6,30,6,3839075
823,2,15,6,3839075
824,13,68,4,90145
825,1,18,92,4618150
826,1,12,92,4618150
827,13,63,4,90145
828,10,44,6,3840171
829,8,40,5,3840171
830,3,26,264,4618448
831,2,16,264,4618448
832,6,37,6,3840171
833,13,50,1,0
834,9,37,6,3840148
835,22,131,3,84704
836,24,154,1,0
837,4,34,1,0
838,23,152,1,0
839,4,35,3,142371
840,6,47,3,142371
841,8,43,2,142371
842,1,9,2,86685
843,1,11,2,86685
844,2,14,1,0
845,1,10,1,0
846,16,80,1,0
847,7,31,3,3823592
848,7,33,3,3823592
849,3,15,90,4573338
850,4,19,1,0
851,4,18,2,79157
852,5,13,2,79157
853,1,13,2,79157
854,2,5,1,0
855,4,82,1,0
856,3,52,141,4601659
857,11,106,116,4601659
858,6,49,4,78200
859,9,75,2,77454
860,15,117,1,0
861,11,40,1,0
862,22,151,1,0
863,3,30,1,0
864,1,12,1,0
865,8,51,1,0
866,5,29,2,76958
867,11,44,2,76958
868,16,104,1,0
869,3,28,1,0
870,1,9,3,76863
871,5,41,1,0
872,18,157,1,0
873,20,60,1,0
874,3,43,1,0
875,4,31,1,0
876,7,47,1,0
877,6,31,1,0
878,8,23,1,0
879,5,31,1,0
880,17,97,1,0
881,17,115,1,0
882,10,89,1,0
883,3,43,1,0
884,8,47,1,0
885,9,42,1,0
886,3,28,1,0
887,3,30,1,0
888,8,53,1,0
889,3,18,2,75846
890,17,105,1,0
891,17,82,1,0
892,2,28,140,4600924
893,9,36,1,0
894,5,27,1,0
895,8,37,1,0
896,17,108,1,0
897,29,162,1,0
898,10,44,1,0
899,6,22,1,0
900,10,58,1,0
901,28,179,1,0
902,10,47,1,0
903,16,104,1,0
904,4,30,1,0
905,2,20,140,4599011
906,4,22,557,4599931
907,8,37,1,0
908,5,38,1,0
909,10,46,1,0
910,15,66,1,0
911,13,49,1,0
912,11,55,1,0
913,7,40,1,0
914,11,41,1,0
915,14,46,1,0
916,10,77,1,0
917,7,41,1,0
918,16,350,1,0
919,2,18,1,0
920,3,24,1,0
921,8,35,1,0
922,4,37,1,0
923,12,122,1,0
924,19,97,1,0
925,3,20,1,0
926,7,69,1,0
927,15,74,1,0
928,6,38,1,0
929,5,43,1,0
930,4,44,1,0
931,3,32,1,0
932,6,36,1,0
933,5,52,1,0
934,5,58,1,0
935,4,24,1,0
936,8,59,1,0
937,4,25,1,0
938,1,13,1,0
939,4,26,1,0
940,2,33,1,0
941,1,8,1,0
942,10,49,1,0
943,12,59,1,0
944,2,13,1,0
945,14,97,1,0
946,14,131,1,0
947,22,82,1,0
948,4,8,1,0
949,10,100,1,0
950,5,55,1,0
951,10,123,1,0
952,1,9,1,0
953,2,17,1,0
954,5,48,1,0
955,24,108,1,0
956,19,59,1,0
957,6,35,1,0
958,24,90,1,0
959,20,60,1,0
960,16,110,1,0
961,1,14,2,656
962,9,46,1,0
963,5,28,1,0
964,13,48,1,0
965,15,119,1,0
966,1,20,1,0
967,11,58,1,0
968,27,135,1,0
969,11,66,1,0
970,4,25,1,0
971,1,13,1,0
972,12,84,1,0
973,16,77,1,0
974,7,35,1,0
975,8,46,1,0
976,5,27,1,0
977,26,131,1,0
978,4,17,1,0
979,14,47,1,0
980,20,86,1,0
981,11,105,1,0
982,5,38,1,0
983,7,74,1,0
984,11,91,1,0
985,10,43,1,0
986,26,93,1,0
987,25,142,1,0
988,6,21,2,24948
989,3,23,3,25040
990,12,65,2,24948
991,2,4,61,27715
992,3,28,60,27715
993,9,52,59,27631
994,5,29,2,25531
995,3,21,2,25531
996,2,18,2,25531
997,34,127,1,0
998,8,152,1,0
999,6,70,1,0
1000,4,35,1,0
1001,3,13,1,0
1002,10,50,1,0
1003,5,23,1,0
1004,21,186,1,0
1005,14,64,2,59954
1006,4,8,2,59954
1007,2,31,1,0
1008,8,44,2,59952
1009,1,13,2,59952
1010,5,33,2,59952
1011,1,10,1,0
1012,12,82,1,0
1013,2,26,1,0
1014,1,14,2,24592
1015,5,52,1,0
1016,197,1000,1,0
1017,201,1000,18,17000
1018,91,416,1,0
1019,6,37,1,0
1020,5,29,1,0
1021,9,80,1,0
1022,14,111,1,0
1023,8,61,1,0
1024,9,84,1,0
1025,8,61,1,0
1026,9,62,1,0
1027,3,30,1,0
1028,16,96,1,0
1029,3,18,2,42711
1030,20,115,1,0
1031,11,62,1,0
1032,25,158,1,0
1033,3,28,1,0
1034,5,51,1,0
1035,224,1000,1,0
1036,223,1000,4,27000
1037,223,1000,4,27000
1038,223,1000,4,27000
1039,223,1000,4,27000
1040,223,1000,4,27000
1041,223,1000,4,27000
1042,223,1000,3,18000
1043,223,1000,3,18000
1044,223,1000,3,18000
1045,195,945,1,0
1046,2,29,1,0
1047,1,10,1,0
1048,3,11,1,0
1049,9,50,1,0
1050,3,34,1,0
1051,1,10,1,0
1052,2,17,1,0
1053,2,15,121,4515526
1054,1,14,2,4076
1055,4,29,1,0
1056,12,95,1,0
1057,1,18,1,0
1058,16,121,1,0
1059,9,56,1,0
1060,2,19,1,0
1061,3,13,1,0
1062,26,151,1,0
1063,15,115,1,0
1064,17,94,85,4495917
1065,4,38,2,2857060
1066,12,69,1,0
1067,5,26,1,0
1068,8,41,2,2857045
1069,4,28,1,0
1070,4,19,1,0
1071,1,11,1,0
1072,2,22,2,10019
1073,2,24,1,0
1074,9,66,1,0
1075,8,64,1,0
1076,9,77,1,0
1077,8,63,1,0
1078,16,100,1,0
1079,5,35,1,0
1080,3,21,1,0
1081,13,50,1,0
1082,2,15,1,0
1083,13,53,1,0
1084,13,76,1,0
1085,1,8,1,0
1086,11,93,1,0
1087,1,13,1,0
1088,1,15,1,0
1089,4,35,1,0
1090,1,10,1,0
1091,2,18,1,0
1092,2,19,1,0
1093,2,14,1,0
1094,2,21,1,0
1095,2,18,1,0
1096,2,21,1,0
1097,3,18,1,0
1098,15,80,1,0
1099,2,16,2,597
1100,8,33,1,0
1101,4,25,1,0
